clash_id,element_1_id,element_1_type,element_2_id,element_2_type,clash_type,x,y,z,severity
C001,P1001,Pipe,D2001,Duct,Hard,3120,540,2400,High
C002,P1002,Pipe,P1003,Pipe,Hard,1520,820,2300,High
C003,D2002,Duct,D2003,Duct,Hard,4520,1220,2600,High
C004,CT3001,CableTray,P1004,Pipe,Hard,2010,610,2200,Medium
C005,CT3002,CableTray,D2004,Duct,Hard,3510,910,2500,High
C006,P1005,Pipe,D2005,Duct,Soft,2820,710,2400,Medium
C007,P1006,Pipe,CT3003,CableTray,Hard,5020,1510,2700,High
C008,D2006,Duct,P1007,Pipe,Soft,3220,1010,2450,Low
C009,P1008,Pipe,D2007,Duct,Hard,4120,1110,2550,High
C010,CT3004,CableTray,CT3005,CableTray,Hard,2920,760,2350,Medium
C011,P1009,Pipe,D2008,Duct,Hard,3800,1000,2400,High
C012,P1010,Pipe,CT3006,CableTray,Soft,2600,900,2300,Low
C013,D2009,Duct,P1011,Pipe,Hard,4100,1200,2500,High
C014,CT3007,CableTray,D2010,Duct,Hard,3600,800,2450,High
C015,P1012,Pipe,P1013,Pipe,Hard,1500,700,2200,High
C016,P1014,Pipe,D2011,Duct,Soft,2900,600,2400,Medium
C017,D2012,Duct,CT3008,CableTray,Hard,4200,1300,2600,High
C018,P1015,Pipe,D2013,Duct,Hard,3300,1100,2550,High
C019,P1016,Pipe,CT3009,CableTray,Soft,2800,950,2350,Low
C020,D2014,Duct,D2015,Duct,Hard,4700,1400,2700,High
C021,P1017,Pipe,D2016,Duct,Hard,3000,800,2400,High
C022,P1018,Pipe,P1019,Pipe,Soft,1700,600,2250,Low
C023,CT3010,CableTray,D2017,Duct,Hard,3500,1000,2500,High
C024,D2018,Duct,P1020,Pipe,Hard,3900,1200,2600,High
C025,P1021,Pipe,CT3011,CableTray,Soft,2600,850,2350,Low
C026,P1022,Pipe,D2019,Duct,Hard,4100,1100,2550,High
C027,D2020,Duct,CT3012,CableTray,Hard,4500,1300,2650,High
C028,P1023,Pipe,P1024,Pipe,Hard,1800,700,2300,High
C029,P1025,Pipe,D2021,Duct,Soft,2900,900,2400,Medium
C030,CT3013,CableTray,P1026,Pipe,Hard,3100,1000,2500,High
